complaint_id,text,category,priority,sentiment,resolution_time
104,Box was broken,Packaging,High,Frustrated,49
105,Trade-related query,Trade,Low,Neutral,42
106,Box was broken,Packaging,High,Frustrated,51
107,Product stopped working,Product,High,Angry,7
108,Inquiry about pricing,Trade,Low,Neutral,1
109,Damaged packaging,Packaging,High,Frustrated,58
110,Product stopped working,Product,High,Angry,54
111,Box was broken,Packaging,High,Frustrated,65
112,Defective item received,Product,High,Angry,61
113,Poor packaging quality,Packaging,Medium,Sad,7
114,Damaged packaging,Packaging,High,Frustrated,46
115,Product malfunctioning,Product,High,Angry,37
116,Product stopped working,Product,High,Angry,70
117,Damaged packaging,Packaging,High,Frustrated,10
118,Defective item received,Product,High,Angry,52
119,Defective item received,Product,High,Angry,27
120,Damaged packaging,Packaging,High,Frustrated,54
121,Product malfunctioning,Product,High,Angry,39
122,Product stopped working,Product,High,Angry,26
123,Inquiry about pricing,Trade,Low,Neutral,56
124,Poor packaging quality,Packaging,Medium,Sad,40
125,Poor packaging quality,Packaging,Medium,Sad,72
126,Need bulk order details,Trade,Medium,Neutral,50
127,Need bulk order details,Trade,Medium,Neutral,19
128,Product malfunctioning,Product,High,Angry,71
129,Defective item received,Product,High,Angry,20
130,Poor packaging quality,Packaging,Medium,Sad,6
131,Product stopped working,Product,High,Angry,52
132,Product malfunctioning,Product,High,Angry,2
133,Damaged packaging,Packaging,High,Frustrated,3
134,Product malfunctioning,Product,High,Angry,43
135,Trade-related query,Trade,Low,Neutral,21
136,Box was broken,Packaging,High,Frustrated,8
137,Product stopped working,Product,High,Angry,9
138,Trade-related query,Trade,Low,Neutral,49
139,Damaged packaging,Packaging,High,Frustrated,9
140,Need bulk order details,Trade,Medium,Neutral,14
141,Damaged packaging,Packaging,High,Frustrated,47
142,Poor packaging quality,Packaging,Medium,Sad,66
143,Trade-related query,Trade,Low,Neutral,70
144,Damaged packaging,Packaging,High,Frustrated,35
145,Inquiry about pricing,Trade,Low,Neutral,13
146,Need bulk order details,Trade,Medium,Neutral,67
147,Trade-related query,Trade,Low,Neutral,8
148,Poor packaging quality,Packaging,Medium,Sad,67
149,Poor packaging quality,Packaging,Medium,Sad,59
150,Product malfunctioning,Product,High,Angry,36
151,Trade-related query,Trade,Low,Neutral,71
152,Damaged packaging,Packaging,High,Frustrated,38
153,Product malfunctioning,Product,High,Angry,48
154,Damaged packaging,Packaging,High,Frustrated,58
155,Inquiry about pricing,Trade,Low,Neutral,12
156,Need bulk order details,Trade,Medium,Neutral,37
157,Box was broken,Packaging,High,Frustrated,42
158,Product malfunctioning,Product,High,Angry,14
159,Trade-related query,Trade,Low,Neutral,19
160,Poor packaging quality,Packaging,Medium,Sad,22
161,Product stopped working,Product,High,Angry,57
162,Inquiry about pricing,Trade,Low,Neutral,55
163,Box was broken,Packaging,High,Frustrated,12
164,Product stopped working,Product,High,Angry,40
165,Damaged packaging,Packaging,High,Frustrated,49
166,Product malfunctioning,Product,High,Angry,70
167,Product malfunctioning,Product,High,Angry,29
168,Box was broken,Packaging,High,Frustrated,8
169,Poor packaging quality,Packaging,Medium,Sad,61
170,Product stopped working,Product,High,Angry,45
171,Inquiry about pricing,Trade,Low,Neutral,4
172,Inquiry about pricing,Trade,Low,Neutral,39
173,Inquiry about pricing,Trade,Low,Neutral,4
174,Damaged packaging,Packaging,High,Frustrated,44
175,Need bulk order details,Trade,Medium,Neutral,51
176,Product stopped working,Product,High,Angry,9
177,Product stopped working,Product,High,Angry,61
178,Defective item received,Product,High,Angry,34
179,Damaged packaging,Packaging,High,Frustrated,26
180,Trade-related query,Trade,Low,Neutral,23
181,Damaged packaging,Packaging,High,Frustrated,44
182,Trade-related query,Trade,Low,Neutral,19
183,Poor packaging quality,Packaging,Medium,Sad,29
184,Trade-related query,Trade,Low,Neutral,12
185,Box was broken,Packaging,High,Frustrated,39
186,Need bulk order details,Trade,Medium,Neutral,48
187,Poor packaging quality,Packaging,Medium,Sad,33
188,Damaged packaging,Packaging,High,Frustrated,9
189,Damaged packaging,Packaging,High,Frustrated,66
190,Need bulk order details,Trade,Medium,Neutral,33
191,Product malfunctioning,Product,High,Angry,47
192,Inquiry about pricing,Trade,Low,Neutral,25
193,Product malfunctioning,Product,High,Angry,39
194,Damaged packaging,Packaging,High,Frustrated,68
195,Need bulk order details,Trade,Medium,Neutral,64
196,Trade-related query,Trade,Low,Neutral,14
197,Defective item received,Product,High,Angry,45
198,Product malfunctioning,Product,High,Angry,26
199,Damaged packaging,Packaging,High,Frustrated,41
200,Poor packaging quality,Packaging,Medium,Sad,58
201,Product stopped working,Product,High,Angry,58
202,Need bulk order details,Trade,Medium,Neutral,44
203,Product malfunctioning,Product,High,Angry,43
204,Need bulk order details,Trade,Medium,Neutral,70
205,Box was broken,Packaging,High,Frustrated,67
206,Need bulk order details,Trade,Medium,Neutral,13
207,Product malfunctioning,Product,High,Angry,26
208,Damaged packaging,Packaging,High,Frustrated,58
209,Damaged packaging,Packaging,High,Frustrated,63
210,Product stopped working,Product,High,Angry,12
211,Damaged packaging,Packaging,High,Frustrated,22
212,Product malfunctioning,Product,High,Angry,14
213,Defective item received,Product,High,Angry,6
214,Inquiry about pricing,Trade,Low,Neutral,21
215,Product stopped working,Product,High,Angry,43
216,Box was broken,Packaging,High,Frustrated,31
217,Inquiry about pricing,Trade,Low,Neutral,41
218,Trade-related query,Trade,Low,Neutral,16
219,Need bulk order details,Trade,Medium,Neutral,48
220,Defective item received,Product,High,Angry,9
221,Trade-related query,Trade,Low,Neutral,10
222,Product stopped working,Product,High,Angry,49
223,Trade-related query,Trade,Low,Neutral,41
224,Damaged packaging,Packaging,High,Frustrated,36
225,Box was broken,Packaging,High,Frustrated,56
226,Poor packaging quality,Packaging,Medium,Sad,17
227,Product stopped working,Product,High,Angry,67
228,Inquiry about pricing,Trade,Low,Neutral,13
229,Defective item received,Product,High,Angry,22
230,Product malfunctioning,Product,High,Angry,4
231,Damaged packaging,Packaging,High,Frustrated,33
232,Inquiry about pricing,Trade,Low,Neutral,17
233,Damaged packaging,Packaging,High,Frustrated,14
234,Need bulk order details,Trade,Medium,Neutral,14
235,Damaged packaging,Packaging,High,Frustrated,6
236,Need bulk order details,Trade,Medium,Neutral,61
237,Product malfunctioning,Product,High,Angry,27
238,Box was broken,Packaging,High,Frustrated,22
239,Product malfunctioning,Product,High,Angry,68
240,Box was broken,Packaging,High,Frustrated,70
241,Product malfunctioning,Product,High,Angry,35
242,Trade-related query,Trade,Low,Neutral,67
243,Poor packaging quality,Packaging,Medium,Sad,26
244,Product stopped working,Product,High,Angry,6
245,Box was broken,Packaging,High,Frustrated,14
246,Defective item received,Product,High,Angry,71
247,Product stopped working,Product,High,Angry,60
248,Product malfunctioning,Product,High,Angry,21
249,Product malfunctioning,Product,High,Angry,6
250,Trade-related query,Trade,Low,Neutral,41
251,Box was broken,Packaging,High,Frustrated,67
252,Poor packaging quality,Packaging,Medium,Sad,51
253,Need bulk order details,Trade,Medium,Neutral,26
254,Product stopped working,Product,High,Angry,16
255,Poor packaging quality,Packaging,Medium,Sad,20
256,Need bulk order details,Trade,Medium,Neutral,9
257,Poor packaging quality,Packaging,Medium,Sad,48
258,Inquiry about pricing,Trade,Low,Neutral,71
259,Poor packaging quality,Packaging,Medium,Sad,32
260,Trade-related query,Trade,Low,Neutral,35
261,Damaged packaging,Packaging,High,Frustrated,24
262,Poor packaging quality,Packaging,Medium,Sad,67
263,Product stopped working,Product,High,Angry,19
264,Poor packaging quality,Packaging,Medium,Sad,16
265,Product stopped working,Product,High,Angry,8
266,Defective item received,Product,High,Angry,3
267,Product stopped working,Product,High,Angry,35
268,Inquiry about pricing,Trade,Low,Neutral,54
269,Defective item received,Product,High,Angry,63
270,Defective item received,Product,High,Angry,50
271,Box was broken,Packaging,High,Frustrated,51
272,Need bulk order details,Trade,Medium,Neutral,43
273,Inquiry about pricing,Trade,Low,Neutral,9
274,Box was broken,Packaging,High,Frustrated,44
275,Trade-related query,Trade,Low,Neutral,55
276,Damaged packaging,Packaging,High,Frustrated,20
277,Product malfunctioning,Product,High,Angry,14
278,Need bulk order details,Trade,Medium,Neutral,2
279,Defective item received,Product,High,Angry,59
280,Box was broken,Packaging,High,Frustrated,21
281,Box was broken,Packaging,High,Frustrated,47
282,Poor packaging quality,Packaging,Medium,Sad,42
283,Defective item received,Product,High,Angry,25
284,Product stopped working,Product,High,Angry,3
285,Damaged packaging,Packaging,High,Frustrated,21
286,Poor packaging quality,Packaging,Medium,Sad,25
287,Need bulk order details,Trade,Medium,Neutral,21
288,Box was broken,Packaging,High,Frustrated,55
289,Trade-related query,Trade,Low,Neutral,28
290,Inquiry about pricing,Trade,Low,Neutral,27
291,Product malfunctioning,Product,High,Angry,64
292,Defective item received,Product,High,Angry,36
293,Product stopped working,Product,High,Angry,38
294,Need bulk order details,Trade,Medium,Neutral,33
295,Defective item received,Product,High,Angry,25
296,Box was broken,Packaging,High,Frustrated,60
297,Box was broken,Packaging,High,Frustrated,55
298,Damaged packaging,Packaging,High,Frustrated,55
299,Trade-related query,Trade,Low,Neutral,37
300,Product malfunctioning,Product,High,Angry,20
301,Need bulk order details,Trade,Medium,Neutral,31
302,Product malfunctioning,Product,High,Angry,15
303,Inquiry about pricing,Trade,Low,Neutral,40
304,Poor packaging quality,Packaging,Medium,Sad,48
305,Box was broken,Packaging,High,Frustrated,44
306,Product malfunctioning,Product,High,Angry,28
307,Product stopped working,Product,High,Angry,22
308,Product stopped working,Product,High,Angry,65
309,Inquiry about pricing,Trade,Low,Neutral,11
310,Poor packaging quality,Packaging,Medium,Sad,12
311,Damaged packaging,Packaging,High,Frustrated,39
312,Product malfunctioning,Product,High,Angry,56
313,Box was broken,Packaging,High,Frustrated,35
314,Box was broken,Packaging,High,Frustrated,14
315,Poor packaging quality,Packaging,Medium,Sad,59
316,Product malfunctioning,Product,High,Angry,51
317,Box was broken,Packaging,High,Frustrated,7
318,Defective item received,Product,High,Angry,3
319,Product malfunctioning,Product,High,Angry,36
320,Poor packaging quality,Packaging,Medium,Sad,22
321,Defective item received,Product,High,Angry,30
322,Inquiry about pricing,Trade,Low,Neutral,12
323,Trade-related query,Trade,Low,Neutral,72
324,Defective item received,Product,High,Angry,66
325,Need bulk order details,Trade,Medium,Neutral,9
326,Damaged packaging,Packaging,High,Frustrated,45
327,Product stopped working,Product,High,Angry,60
328,Product malfunctioning,Product,High,Angry,17
329,Trade-related query,Trade,Low,Neutral,47
330,Trade-related query,Trade,Low,Neutral,60
331,Product malfunctioning,Product,High,Angry,50
332,Box was broken,Packaging,High,Frustrated,41
333,Product stopped working,Product,High,Angry,62
334,Trade-related query,Trade,Low,Neutral,34
335,Defective item received,Product,High,Angry,24
336,Box was broken,Packaging,High,Frustrated,28
337,Need bulk order details,Trade,Medium,Neutral,62
338,Poor packaging quality,Packaging,Medium,Sad,68
339,Defective item received,Product,High,Angry,9
340,Inquiry about pricing,Trade,Low,Neutral,57
341,Inquiry about pricing,Trade,Low,Neutral,70
342,Damaged packaging,Packaging,High,Frustrated,2
343,Product malfunctioning,Product,High,Angry,15
344,Box was broken,Packaging,High,Frustrated,47
345,Damaged packaging,Packaging,High,Frustrated,34
346,Inquiry about pricing,Trade,Low,Neutral,21
347,Damaged packaging,Packaging,High,Frustrated,31
348,Poor packaging quality,Packaging,Medium,Sad,60
349,Poor packaging quality,Packaging,Medium,Sad,26
350,Inquiry about pricing,Trade,Low,Neutral,72
351,Defective item received,Product,High,Angry,37
352,Product malfunctioning,Product,High,Angry,19
353,Trade-related query,Trade,Low,Neutral,61
354,Damaged packaging,Packaging,High,Frustrated,50
355,Product malfunctioning,Product,High,Angry,23
356,Trade-related query,Trade,Low,Neutral,24
357,Poor packaging quality,Packaging,Medium,Sad,31
358,Defective item received,Product,High,Angry,2
359,Product malfunctioning,Product,High,Angry,66
360,Product malfunctioning,Product,High,Angry,45
361,Inquiry about pricing,Trade,Low,Neutral,1
362,Product stopped working,Product,High,Angry,29
363,Trade-related query,Trade,Low,Neutral,44
364,Product malfunctioning,Product,High,Angry,67
365,Damaged packaging,Packaging,High,Frustrated,11
366,Trade-related query,Trade,Low,Neutral,1
367,Product stopped working,Product,High,Angry,54
368,Inquiry about pricing,Trade,Low,Neutral,62
369,Product malfunctioning,Product,High,Angry,5
370,Inquiry about pricing,Trade,Low,Neutral,34
371,Trade-related query,Trade,Low,Neutral,1
372,Inquiry about pricing,Trade,Low,Neutral,17
373,Product stopped working,Product,High,Angry,13
374,Inquiry about pricing,Trade,Low,Neutral,21
375,Trade-related query,Trade,Low,Neutral,48
376,Product malfunctioning,Product,High,Angry,45
377,Box was broken,Packaging,High,Frustrated,36
378,Poor packaging quality,Packaging,Medium,Sad,1
379,Poor packaging quality,Packaging,Medium,Sad,67
380,Product stopped working,Product,High,Angry,1
381,Damaged packaging,Packaging,High,Frustrated,18
382,Box was broken,Packaging,High,Frustrated,68
383,Damaged packaging,Packaging,High,Frustrated,63
384,Box was broken,Packaging,High,Frustrated,29
385,Product malfunctioning,Product,High,Angry,62
386,Poor packaging quality,Packaging,Medium,Sad,29
387,Product stopped working,Product,High,Angry,15
388,Need bulk order details,Trade,Medium,Neutral,27
389,Poor packaging quality,Packaging,Medium,Sad,43
390,Product malfunctioning,Product,High,Angry,60
391,Trade-related query,Trade,Low,Neutral,2
392,Box was broken,Packaging,High,Frustrated,4
393,Damaged packaging,Packaging,High,Frustrated,44
394,Product malfunctioning,Product,High,Angry,28
395,Inquiry about pricing,Trade,Low,Neutral,21
396,Box was broken,Packaging,High,Frustrated,62
397,Need bulk order details,Trade,Medium,Neutral,47
398,Inquiry about pricing,Trade,Low,Neutral,24
399,Defective item received,Product,High,Angry,44
400,Product malfunctioning,Product,High,Angry,61
401,Need bulk order details,Trade,Medium,Neutral,20
402,Need bulk order details,Trade,Medium,Neutral,44
403,Poor packaging quality,Packaging,Medium,Sad,60
404,Inquiry about pricing,Trade,Low,Neutral,67
405,Box was broken,Packaging,High,Frustrated,39
406,Product malfunctioning,Product,High,Angry,43
407,Product malfunctioning,Product,High,Angry,29
408,Damaged packaging,Packaging,High,Frustrated,39
409,Need bulk order details,Trade,Medium,Neutral,46
410,Trade-related query,Trade,Low,Neutral,31
411,Poor packaging quality,Packaging,Medium,Sad,49
412,Inquiry about pricing,Trade,Low,Neutral,50
413,Box was broken,Packaging,High,Frustrated,18
414,Damaged packaging,Packaging,High,Frustrated,21
415,Product malfunctioning,Product,High,Angry,45
416,Product malfunctioning,Product,High,Angry,9
417,Trade-related query,Trade,Low,Neutral,52
418,Product stopped working,Product,High,Angry,45
419,Product malfunctioning,Product,High,Angry,16
420,Box was broken,Packaging,High,Frustrated,26
421,Damaged packaging,Packaging,High,Frustrated,20
422,Defective item received,Product,High,Angry,54
423,Damaged packaging,Packaging,High,Frustrated,61
424,Defective item received,Product,High,Angry,47
425,Product stopped working,Product,High,Angry,6
426,Product stopped working,Product,High,Angry,53
427,Trade-related query,Trade,Low,Neutral,66
428,Defective item received,Product,High,Angry,14
429,Damaged packaging,Packaging,High,Frustrated,2
430,Need bulk order details,Trade,Medium,Neutral,70
431,Damaged packaging,Packaging,High,Frustrated,68
432,Product stopped working,Product,High,Angry,1
433,Poor packaging quality,Packaging,Medium,Sad,40
434,Damaged packaging,Packaging,High,Frustrated,59
435,Need bulk order details,Trade,Medium,Neutral,27
436,Need bulk order details,Trade,Medium,Neutral,70
437,Defective item received,Product,High,Angry,55
438,Product malfunctioning,Product,High,Angry,1
439,Box was broken,Packaging,High,Frustrated,34
440,Inquiry about pricing,Trade,Low,Neutral,69
441,Defective item received,Product,High,Angry,63
442,Need bulk order details,Trade,Medium,Neutral,61
443,Defective item received,Product,High,Angry,17
444,Box was broken,Packaging,High,Frustrated,7
445,Poor packaging quality,Packaging,Medium,Sad,67
446,Defective item received,Product,High,Angry,59
447,Poor packaging quality,Packaging,Medium,Sad,39
448,Defective item received,Product,High,Angry,2
449,Product stopped working,Product,High,Angry,15
450,Poor packaging quality,Packaging,Medium,Sad,50
451,Trade-related query,Trade,Low,Neutral,13
452,Product malfunctioning,Product,High,Angry,20
453,Box was broken,Packaging,High,Frustrated,62
454,Inquiry about pricing,Trade,Low,Neutral,28
455,Defective item received,Product,High,Angry,21
456,Defective item received,Product,High,Angry,65
457,Product malfunctioning,Product,High,Angry,20
458,Trade-related query,Trade,Low,Neutral,57
459,Need bulk order details,Trade,Medium,Neutral,10
460,Product stopped working,Product,High,Angry,5
461,Inquiry about pricing,Trade,Low,Neutral,10
462,Defective item received,Product,High,Angry,29
463,Defective item received,Product,High,Angry,52
464,Defective item received,Product,High,Angry,48
465,Box was broken,Packaging,High,Frustrated,17
466,Damaged packaging,Packaging,High,Frustrated,47
467,Product malfunctioning,Product,High,Angry,39
468,Product stopped working,Product,High,Angry,50
469,Poor packaging quality,Packaging,Medium,Sad,13
470,Poor packaging quality,Packaging,Medium,Sad,36
471,Box was broken,Packaging,High,Frustrated,67
472,Product stopped working,Product,High,Angry,38
473,Product malfunctioning,Product,High,Angry,52
474,Box was broken,Packaging,High,Frustrated,29
475,Poor packaging quality,Packaging,Medium,Sad,24
476,Defective item received,Product,High,Angry,18
477,Damaged packaging,Packaging,High,Frustrated,58
478,Inquiry about pricing,Trade,Low,Neutral,45
479,Product malfunctioning,Product,High,Angry,34
480,Product malfunctioning,Product,High,Angry,13
481,Need bulk order details,Trade,Medium,Neutral,39
482,Need bulk order details,Trade,Medium,Neutral,70
483,Damaged packaging,Packaging,High,Frustrated,42
484,Damaged packaging,Packaging,High,Frustrated,58
485,Box was broken,Packaging,High,Frustrated,7
486,Trade-related query,Trade,Low,Neutral,52
487,Defective item received,Product,High,Angry,40
488,Product stopped working,Product,High,Angry,70
489,Defective item received,Product,High,Angry,65
490,Trade-related query,Trade,Low,Neutral,65
491,Inquiry about pricing,Trade,Low,Neutral,63
492,Inquiry about pricing,Trade,Low,Neutral,26
493,Box was broken,Packaging,High,Frustrated,21
494,Box was broken,Packaging,High,Frustrated,39
495,Damaged packaging,Packaging,High,Frustrated,47
496,Damaged packaging,Packaging,High,Frustrated,61
497,Box was broken,Packaging,High,Frustrated,28
498,Damaged packaging,Packaging,High,Frustrated,9
499,Inquiry about pricing,Trade,Low,Neutral,34
500,Damaged packaging,Packaging,High,Frustrated,52
501,Damaged packaging,Packaging,High,Frustrated,70
502,Need bulk order details,Trade,Medium,Neutral,64
503,Poor packaging quality,Packaging,Medium,Sad,25
504,Trade-related query,Trade,Low,Neutral,1
505,Inquiry about pricing,Trade,Low,Neutral,16
506,Inquiry about pricing,Trade,Low,Neutral,55
507,Inquiry about pricing,Trade,Low,Neutral,35
508,Product stopped working,Product,High,Angry,60
509,Box was broken,Packaging,High,Frustrated,54
510,Trade-related query,Trade,Low,Neutral,55
511,Product malfunctioning,Product,High,Angry,42
512,Inquiry about pricing,Trade,Low,Neutral,22
513,Poor packaging quality,Packaging,Medium,Sad,13
514,Poor packaging quality,Packaging,Medium,Sad,6
515,Product stopped working,Product,High,Angry,57
516,Box was broken,Packaging,High,Frustrated,50
517,Box was broken,Packaging,High,Frustrated,14
518,Product malfunctioning,Product,High,Angry,10
519,Product stopped working,Product,High,Angry,17
520,Defective item received,Product,High,Angry,63
521,Product stopped working,Product,High,Angry,32
522,Damaged packaging,Packaging,High,Frustrated,54
523,Poor packaging quality,Packaging,Medium,Sad,28
524,Defective item received,Product,High,Angry,67
525,Inquiry about pricing,Trade,Low,Neutral,55
526,Inquiry about pricing,Trade,Low,Neutral,6
527,Product malfunctioning,Product,High,Angry,12
528,Product stopped working,Product,High,Angry,12
529,Inquiry about pricing,Trade,Low,Neutral,61
530,Need bulk order details,Trade,Medium,Neutral,61
531,Inquiry about pricing,Trade,Low,Neutral,50
532,Inquiry about pricing,Trade,Low,Neutral,8
533,Trade-related query,Trade,Low,Neutral,4
534,Box was broken,Packaging,High,Frustrated,5
535,Product stopped working,Product,High,Angry,60
536,Product malfunctioning,Product,High,Angry,6
537,Damaged packaging,Packaging,High,Frustrated,3
538,Product malfunctioning,Product,High,Angry,59
539,Defective item received,Product,High,Angry,12
540,Box was broken,Packaging,High,Frustrated,41
541,Product stopped working,Product,High,Angry,8
542,Box was broken,Packaging,High,Frustrated,32
543,Box was broken,Packaging,High,Frustrated,14
544,Product stopped working,Product,High,Angry,45
545,Box was broken,Packaging,High,Frustrated,19
546,Product malfunctioning,Product,High,Angry,63
547,Trade-related query,Trade,Low,Neutral,12
548,Defective item received,Product,High,Angry,42
549,Product malfunctioning,Product,High,Angry,33
550,Trade-related query,Trade,Low,Neutral,32
551,Inquiry about pricing,Trade,Low,Neutral,58
552,Defective item received,Product,High,Angry,50
553,Poor packaging quality,Packaging,Medium,Sad,6
554,Product malfunctioning,Product,High,Angry,16
555,Need bulk order details,Trade,Medium,Neutral,45
556,Product stopped working,Product,High,Angry,27
557,Inquiry about pricing,Trade,Low,Neutral,48
558,Damaged packaging,Packaging,High,Frustrated,61
559,Poor packaging quality,Packaging,Medium,Sad,65
560,Damaged packaging,Packaging,High,Frustrated,17
561,Product stopped working,Product,High,Angry,51
562,Need bulk order details,Trade,Medium,Neutral,19
563,Poor packaging quality,Packaging,Medium,Sad,64
564,Product malfunctioning,Product,High,Angry,53
565,Need bulk order details,Trade,Medium,Neutral,35
566,Damaged packaging,Packaging,High,Frustrated,46
567,Need bulk order details,Trade,Medium,Neutral,42
568,Product malfunctioning,Product,High,Angry,68
569,Defective item received,Product,High,Angry,46
570,Defective item received,Product,High,Angry,62
571,Inquiry about pricing,Trade,Low,Neutral,27
572,Poor packaging quality,Packaging,Medium,Sad,58
573,Damaged packaging,Packaging,High,Frustrated,7
574,Defective item received,Product,High,Angry,6
575,Defective item received,Product,High,Angry,6
576,Need bulk order details,Trade,Medium,Neutral,3
577,Trade-related query,Trade,Low,Neutral,15
578,Product malfunctioning,Product,High,Angry,40
579,Poor packaging quality,Packaging,Medium,Sad,21
580,Inquiry about pricing,Trade,Low,Neutral,41
581,Trade-related query,Trade,Low,Neutral,52
582,Damaged packaging,Packaging,High,Frustrated,4
583,Box was broken,Packaging,High,Frustrated,8
584,Box was broken,Packaging,High,Frustrated,34
585,Product stopped working,Product,High,Angry,32
586,Inquiry about pricing,Trade,Low,Neutral,14
587,Box was broken,Packaging,High,Frustrated,44
588,Product stopped working,Product,High,Angry,62
589,Trade-related query,Trade,Low,Neutral,33
590,Defective item received,Product,High,Angry,69
591,Box was broken,Packaging,High,Frustrated,53
592,Product stopped working,Product,High,Angry,1
593,Inquiry about pricing,Trade,Low,Neutral,51
594,Product malfunctioning,Product,High,Angry,41
595,Product stopped working,Product,High,Angry,60
596,Damaged packaging,Packaging,High,Frustrated,50
597,Need bulk order details,Trade,Medium,Neutral,62
598,Defective item received,Product,High,Angry,39
599,Defective item received,Product,High,Angry,27
